rank,avg_ev,pred_ev,,
764,2.77,2.45,,
765,3.07,2.44,,
766,2.24,2.44,,
767,2.6,2.43,,
768,2.22,2.43,,
769,2.25,2.42,,
770,2.06,2.42,,
771,1.85,2.41,,
772,1.67,2.41,,
773,1.62,2.4,,
774,0.86,2.4,,
775,0.93,2.4,,
776,1.33,2.39,,
777,1.75,2.39,,
778,1.92,2.38,,
779,1.82,2.38,,
780,1.97,2.37,,
781,1.91,2.37,,
782,2.17,2.36,,
783,2.33,2.36,,
784,2.45,2.35,,
785,2.13,2.35,,
786,2.13,2.34,,
787,1.97,2.34,,
788,1.52,2.33,,
789,1.09,2.33,,
790,1.14,2.33,,
791,1.41,2.32,,
792,1.57,2.32,,
793,2.36,2.31,,
794,2.5,2.31,,
795,2.62,2.3,,
796,3.68,2.3,,
797,4.73,2.29,,
798,4.16,2.29,,
799,4.58,2.28,,
800,4.97,2.28,,
801,5.19,2.28,,
802,5.74,2.27,,
803,5.64,2.27,,
804,4.23,2.26,,
805,4.08,2.26,,
806,2.8,2.25,,
807,2.32,2.25,,
808,1.1,2.24,,
809,1.11,2.24,,
810,1.1,2.24,,
811,1.14,2.23,,
812,1.18,2.23,,
813,1.9,2.22,,
814,1.83,2.22,,
815,1.78,2.21,,
816,1.7,2.21,,
817,1.93,2.21,,
818,1.89,2.2,,
819,1.91,2.2,,
820,3.88,2.19,,
821,5.54,2.19,,
822,5.43,2.18,,
823,5.67,2.18,,
824,6.25,2.17,,
825,6.25,2.17,,
826,6.62,2.17,,
827,6.46,2.16,,
828,5.65,2.16,,
829,5.56,2.15,,
830,5.48,2.15,,
831,4.1,2.15,,
832,2.74,2.14,,
833,2.53,2.14,,
834,2.02,2.13,,
835,1.96,2.13,,
836,1.94,2.12,,
837,1.17,2.12,,
838,0.92,2.12,,
839,0.6,2.11,,
840,0.61,2.11,,
841,2.93,2.1,,
842,2.82,2.1,,
843,2.52,2.1,,
844,2.79,2.09,,
845,4.94,2.09,,
846,4.94,2.08,,
847,5.26,2.08,,
848,5.22,2.07,,
849,4.96,2.07,,
850,4.96,2.07,,
851,4.76,2.06,,
852,3.79,2.06,,
853,4.09,2.05,,
854,4.37,2.05,,
855,4.34,2.05,,
856,1.19,2.04,,
857,1.19,2.04,,
858,1.88,2.03,,
859,3.43,2.03,,
860,4.1,2.03,,
861,3.83,2.02,,
862,4.2,2.02,,
863,2.72,2.01,,
864,2.89,2.01,,
865,2.52,2.01,,
866,2.42,2,,
867,2.39,2,,
868,2.42,1.99,,
869,1.84,1.99,,
870,0.79,1.99,,
871,0.92,1.98,,
872,0.97,1.98,,
873,0.89,1.98,,
874,0.94,1.97,,
875,0.81,1.97,,
876,0.7,1.96,,
877,0.68,1.96,,
878,0.69,1.96,,
879,0.81,1.95,,
880,0.75,1.95,,
881,0.75,1.94,,
882,0.92,1.94,,
883,1.57,1.94,,
884,1.61,1.93,,
885,2.04,1.93,,
886,2.04,1.93,,
887,1.69,1.92,,
888,1.66,1.92,,
889,1.77,1.91,,
890,2.49,1.91,,
891,3.28,1.91,,
